"group_name","parameter_name"
"equipment","Instrumentation effects - Acoustic startle"
"equipment","Instrumentation effects - Calorimetry"
"equipment","Instrumentation effects - IPGTT"
"equipment","Instrumentation effects - ABR"
"images","Instrumentation effects - DEXA"
"images","Instrumentation effects - Slit lamp"
"images","Instrumentation effects - Ophthalmoscope"
"blood_hematology","Instrumentation effects - Hematology"
"equipment","Instrumentation effects - Clinical chemistry"
"equipment","Instrumentation effects - Immunophenotyping"
"equipment","Instrumentation effects - Open field"
"equipment","Instrumentation effects - ECG"
"images","Instrumentation effects - Echo"
"equipment","Instrumentation effects - Plethysmography"
"pathology","Instrumentation effects - Gross pathology"
"equipment","Instrumentation effects - Insulin"
"equipment","Instrumentation effects - Embryo Lac Z"
"equipment","Instrumentation effects - Adult Lac Z"
"images","Instrumentation effects - X-ray"
"weight","Operator effects - Body weight"
"functional_behavioral","Operator effects - Open field"
"other","Operator effects - CSD"
"functional_behavioral","Operator effects - Grip strength"
"functional_behavioral","Operator effects - Acoustic startle"
"other","Operator effects - Calorimetry"
"other","Operator effects - IPGTT"
"other","Operator effects - ABR collection"
"other","Operator effects - ABR annotation"
"images","Operator effects - DEXA"
"images","Operator effects - X-ray imaging"
"images","Operator effects - X-ray annotation"
"images","Operator effects - Slit lamp"
"images","Operator effects - Ophthalmoscope"
"blood_hematology","Operator effects - Hematology"
"other","Operator effects - Clinical chemistry"
"other","Operator effects - Immunophenotyping collection"
"other","Operator effects - Immunophenotyping analysis"
"weight","Operator effects - Heart weight"
"pathology","Operator effects - Gross pathology collection"
"pathology","Operator effects - Gross pathology annotation"
"other","Operator effects - ECG"
"images","Operator effects - Echo"
"other","Operator effects - Plethysmography"
"other","Operator effects - Insulin"
"embryo_development","Operator effects - Embryo Lac Z collection"
"embryo_development","Operator effects - Embryo Lac Z annotation"
"other","Operator effects - Adult Lac Z collection"
"other","Operator effects - Adult Lac Z annotation"
"other","Time effects"
"weight","Order effects - Body weight"
"other","Order effects - CSD"
"functional_behavioral","Order effects - Grip strength"
"functional_behavioral","Order effects - Acoustic startle"
"other","Order effects - Calorimetry"
"other","Order effects - IPGTT"
"other","Order effects - ABR collection"
"other","Order effects - ABR annotation"
"images","Order effects - DEXA"
"images","Order effects - X-ray imaging"
"images","Order effects - X-ray annotation"
"images","Order effects - Slit lamp"
"images","Order effects - Ophthalmoscope"
"blood_hematology","Order effects - Hematology"
"other","Order effects - Clinical chemistry"
"other","Order effects - Immunophenotyping"
"weight","Order effects - Heart weight"
"functional_behavioral","Order effects - Open field"
"pathology","Order effects - Gross pathology collection"
"pathology","Order effects - Gross pathology annotation"
"other","Order effects - ECG"
"images","Order effects - Echo"
"other","Order effects - Plethysmography"
"other","Order effects - Insulin"
"embryo_development","Order effects - Embryo Lac Z"
"other","Order effects - Adult Lac Z"
"other","Subject selection - ABR"
"pathology","Subject selection - Gross pathology"
"other","Gene category"
"other","Male parents genotype"
"other","Female parents genotype"
"embryo_development","Litter male parent specimen id"
"embryo_development","Litter female parent 1 specimen id"
"embryo_development","Litter female parent 2 specimen id"
"embryo_development","Litter date of birth"
"other","Number of WT males"
"other","Number of WT females"
"other","Number of heterozygous males"
"other","Number of heterozygous females"
"other","Number of homozygous males"
"other","Number of homozygous females"
"other","Number of hemizygous males"
"other","Number of anzygous females"
"other","Total WT males"
"other","Total WT females"
"other","Total heterozygous males"
"other","Total heterozygous females"
"other","Total homozygous males"
"other","Total homozygous females"
"other","Total of hemizygous males"
"other","Total anzygous females"
"other","Total pups"
"other","Total WTs"
"other","Total heterozygotes"
"other","Total homozygotes"
"other","Total males"
"other","Total females"
"other","Female age earliest start"
"other","Female age oldest end"
"other","Age of pups at genotype"
"embryo_development","Homozygous males viability"
"embryo_development","Homozygous females viability"
"embryo_development","Hemizygous males viability"
"embryo_development","Heterozygous animals viability"
"embryo_development","Homozygous animals viability"
"embryo_development","Embryo Vignette"
"other","Number of signals"
"other","HR"
"other","CV"
"other","RR"
"other","PQ"
"other","PR"
"other","QRS"
"other","ST"
"other","HRV"
"other","QTc Dispersion"
"other","Mean SR amplitude"
"other","Mean R amplitude"
"other","rMSSD"
"other","pNN5(6>ms)"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Anesthetic"
"other","Experimenter ID"
"other","Noise level"
"other","Light level"
"equipment","Date equipment last calibrated"
"other","QTc"
"other","Analysis Software"
"images","Waveform Image"
"images","Waveform Image Comment"
"other","Lead Configuration"
"weight","Body weight"
"weight","Fat mass"
"weight","Lean mass"
"other","Bone Mineral Density (excluding skull)"
"other","Bone Mineral Content (excluding skull)"
"weight","Body length"
"weight","BMC/Body weight"
"weight","Lean/Body weight"
"weight","Fat/Body weight"
"other","Bone Area"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Mouse Status"
"other","Anesthesia"
"other","Experimenter ID"
"equipment","Date equipment last calibrated"
"other","HAW"
"other","Sodium"
"other","Potassium"
"other","Chloride"
"blood_hematology","Urea (Blood Urea Nitrogen - BUN)"
"other","Creatinine"
"other","Total protein"
"other","Albumin"
"other","Total bilirubin"
"other","Calcium"
"other","Phosphorus"
"other","Iron"
"other","Aspartate aminotransferase"
"other","Alanine aminotransferase"
"other","Alkaline phosphatase"
"other","Total cholesterol"
"other","HDL-cholesterol"
"other","Triglycerides"
"other","Glucose"
"other","LIH (Hemolysis Severity - available on AU analysers)"
"other","Fructosamine"
"other","Lipase"
"other","Lactate dehydrogenase"
"other","Alpha-amylase"
"other","UIBC (unsaturated iron binding capacity)"
"other","LDL-cholesterol"
"other","Free fatty acids"
"other","Glycerol"
"other","Creatine kinase"
"other","Uric acid"
"other","Ferritin"
"other","Transferrin"
"other","C-reactive protein"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"blood_hematology","Anesthesia used for blood collection"
"blood_hematology","Method of blood collection"
"other","Anticoagulant"
"other","Samples kept on ice between collection and analysis"
"other","Sample status"
"other","Sample dilution"
"blood_hematology","ID of blood collection SOP"
"blood_hematology","Date and time of blood collection"
"other","Hemolysis status"
"blood_hematology","Blood collection experimenter ID"
"equipment","Date equipment last calibrated"
"blood_hematology","Blood collection tubes"
"other","Date and time of sacrifice"
"blood_hematology","Storage temperature from blood collection till measurement"
"blood_hematology","Blood analysis experimenter ID"
"blood_hematology","Glycosilated hemoglobin A1c (HbA1c)"
"other","Thyroxine"
"other","Magnesium"
"other","Difficult bleed"
"weight","Body weight"
"weight","Spleen weight"
"weight","Left kidney weight"
"weight","Right kidney weight"
"weight","Epididymis weight"
"weight","Seminal vesicle weight"
"weight","Spleen weight to body weight ratio"
"weight","Left kidney weight to body weight ratio"
"weight","Right kidney weight to body weight ratio"
"weight","Epididymis weight to body weight ratio"
"weight","Seminal vesicle weight to body weight ratio"
"other","Experimenter ID"
"other","Date of sacrifice"
"other","Method of sacrifice"
"equipment","Equipment ID"
"equipment","Date equipment last calibrated"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"weight","Left testis weight"
"weight","Right testis weight"
"weight","Whole liver weight"
"weight","Right lung all lobes weight"
"weight","Left lung weight"
"weight","Left testis weight to body weight ratio"
"weight","Right testis weight to body weight ratio"
"weight","Whole liver weight to body weight ratio"
"weight","Right lung all lobes weight to body weight ratio"
"weight","Left lung weight to body weight ratio"
"weight","Whole lung weight"
"other","Skull shape"
"other","Zygomatic bone"
"other","Maxilla/Pre-maxilla"
"other","Mandibles"
"other","Teeth"
"other","Scapulae"
"other","Clavicle"
"other","Number of ribs right"
"other","Number of ribs left"
"other","Shape of ribs"
"other","Fusion of ribs"
"other","Pelvis"
"other","Number of cervical vertebrae"
"other","Number of thoracic vertebrae"
"other","Number of lumbar vertebrae"
"other","Number of pelvic vertebrae"
"other","Number of caudal vertebrae"
"other","Shape of vertebrae"
"other","Fusion of vertebrae"
"other","Processes on vertebrae"
"other","Humerus"
"other","Radius"
"other","Ulna"
"other","Femur"
"other","Tibia"
"other","Fibula"
"other","Joints"
"other","Number of digits"
"other","Syndactylism"
"other","Brachydactyly"
"other","Digit integrity"
"images","Comment on XRay image"
"weight","Tibia length"
"images","XRay Images Whole Body Dorso Ventral"
"other","Alive"
"images","Xray equipment ID"
"images","Xray equipment manufacturer"
"images","Xray equipment model"
"images","Settings time of exposure"
"equipment","Settings level"
"images","Experimenter ID (scan)"
"other","Experimenter ID (analysis)"
"equipment","Voltage settings"
"images","Scanner equipment ID"
"images","Scanner equipment manufacturer"
"images","Scanner equipment model"
"images","Date Xray equipment last calibrated"
"images","XRay Images Whole Body Lateral Orientation"
"images","XRay Images Forepaw"
"images","XRay Images Skull Lateral Orientation"
"images","XRay Images Skull Dorso Ventral Orientation"
"images","XRay Images Hind Leg and Hip"
"images","Date Scanner equipment last calibrated"
"other","Free Ontology"
"other","Shape of spine"
"other","Scoliosis"
"other","Kyphosis"
"other","Lordosis"
"other","Shape of ribcage"
"other","Transitional vertebrae"
"other","Fusion of processes"
"other","Polysyndactylism"
"other","Cervical processes"
"other","Thoracic processes"
"other","Lumbar processes"
"other","Sacral processes"
"other","Caudal processes"
"other","Missing cranial rib"
"other","Rib morphology"
"other","Cervical vertebrae morphology"
"other","Thoracic vertebrae morphology"
"other","Lumbar vertebrae morphology"
"other","Pelvic vertebrae morphology"
"other","Caudal vertebrae morphology"
"other","Placenta Development"
"other","Placenta Morphology"
"other","Placenta Vasculature"
"other","Placenta Size"
"other","Umbilical cord morphology"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"brain","Brain - MPATH diagnostic term"
"brain","Brain - Free text diagnostic term"
"brain","Brain - MPATH process term"
"brain","Brain - Severity score"
"brain","Brain - Descriptor PATO"
"brain","Brain - Description"
"pathology","Eye with optic nerve - MPATH diagnostic term"
"other","Eye with optic nerve - Free text diagnostic term"
"pathology","Eye with optic nerve - MPATH process term"
"other","Eye with optic nerve - Severity score"
"other","Eye with optic nerve - Descriptor PATO"
"other","Eye with optic nerve - Description"
"brain","Spinal cord - MPATH diagnostic term"
"brain","Spinal cord - Free text diagnostic term"
"brain","Spinal cord - MPATH process term"
"brain","Spinal cord - Severity score"
"brain","Spinal cord - Descriptor PATO"
"brain","Spinal cord - Description"
"pathology","Thymus - MPATH diagnostic term"
"other","Thymus - Free text diagnostic term"
"pathology","Thymus - MPATH process term"
"other","Thymus - Severity score"
"other","Thymus - Descriptor PATO"
"other","Thymus - Description"
"pathology","Thyroid - MPATH diagnostic term"
"other","Thyroid - Free text diagnostic term"
"pathology","Thyroid - MPATH process term"
"other","Thyroid - Severity score"
"other","Thyroid - Descriptor PATO"
"other","Thyroid - Description"
"heart","Heart - MPATH diagnostic term"
"heart","Heart - Free text diagnostic term"
"heart","Heart - MPATH process term"
"heart","Heart - Severity score"
"heart","Heart - Descriptor PATO"
"heart","Heart - Description"
"pathology","Trachea - MPATH diagnostic term"
"other","Trachea - Free text diagnostic term"
"pathology","Trachea - MPATH process term"
"other","Trachea - Severity score"
"other","Trachea - Descriptor PATO"
"other","Trachea - Description"
"pathology","Esophagus - MPATH diagnostic term"
"other","Esophagus - Free text diagnostic term"
"pathology","Esophagus - MPATH process term"
"other","Esophagus - Severity score"
"other","Esophagus - Descriptor PATO"
"other","Esophagus - Description"
"pathology","Lung - MPATH diagnostic term"
"other","Lung - Free text diagnostic term"
"pathology","Lung - MPATH process term"
"other","Lung - Severity score"
"other","Lung - Descriptor PATO"
"other","Lung - Description"
"pathology","Liver - MPATH diagnostic term"
"other","Liver - Free text diagnostic term"
"pathology","Liver - MPATH process term"
"other","Liver - Severity score"
"other","Liver - Descriptor PATO"
"other","Liver - Description"
"pathology","Gall bladder - MPATH diagnostic term"
"other","Gall bladder - Free text diagnostic term"
"pathology","Gall bladder - MPATH process term"
"other","Gall bladder - Severity score"
"other","Gall bladder - Descriptor PATO"
"other","Gall bladder - Description"
"pathology","Stomach - MPATH diagnostic term"
"other","Stomach - Free text diagnostic term"
"pathology","Stomach - MPATH process term"
"other","Stomach - Severity score"
"other","Stomach - Descriptor PATO"
"other","Stomach - Description"
"pathology","Small intestine - MPATH diagnostic term"
"other","Small intestine - Free text diagnostic term"
"pathology","Small intestine - MPATH process term"
"other","Small intestine - Severity score"
"other","Small intestine - Descriptor PATO"
"other","Small intestine - Description"
"pathology","Large intestine - MPATH diagnostic term"
"other","Large intestine - Free text diagnostic term"
"pathology","Large intestine - MPATH process term"
"other","Large intestine - Severity score"
"other","Large intestine - Descriptor PATO"
"other","Large intestine - Description"
"pathology","Pancreas - MPATH diagnostic term"
"other","Pancreas - Free text diagnostic term"
"pathology","Pancreas - MPATH process term"
"other","Pancreas - Severity score"
"other","Pancreas - Descriptor PATO"
"other","Pancreas - Description"
"pathology","Spleen - MPATH diagnostic term"
"other","Spleen - Free text diagnostic term"
"pathology","Spleen - MPATH process term"
"other","Spleen - Severity score"
"other","Spleen - Descriptor PATO"
"other","Spleen - Description"
"pathology","Kidney - MPATH diagnostic term"
"other","Kidney - Free text diagnostic term"
"pathology","Kidney - MPATH process term"
"other","Kidney - Severity score"
"other","Kidney - Descriptor PATO"
"other","Kidney - Description"
"pathology","Adrenal gland - MPATH diagnostic term"
"other","Adrenal gland - Free text diagnostic term"
"pathology","Adrenal gland - MPATH process term"
"other","Adrenal gland - Severity score"
"other","Adrenal gland - Descriptor PATO"
"other","Adrenal gland - Description"
"pathology","Mammary gland - MPATH diagnostic term"
"other","Mammary gland - Free text diagnostic term"
"pathology","Mammary gland - MPATH process term"
"other","Mammary gland - Severity score"
"other","Mammary gland - Descriptor PATO"
"other","Mammary gland - Description"
"pathology","Lymph node - MPATH diagnostic term"
"other","Lymph node - Free text diagnostic term"
"pathology","Lymph node - MPATH process term"
"other","Lymph node - Severity score"
"other","Lymph node - Descriptor PATO"
"other","Lymph node - Description"
"pathology","Skin - MPATH diagnostic term"
"other","Skin - Free text diagnostic term"
"pathology","Skin - MPATH process term"
"other","Skin - Severity score"
"other","Skin - Descriptor PATO"
"other","Skin - Description"
"pathology","Skeletal muscle - MPATH diagnostic term"
"other","Skeletal muscle - Free text diagnostic term"
"pathology","Skeletal muscle - MPATH process term"
"other","Skeletal muscle - Severity score"
"other","Skeletal muscle - Descriptor PATO"
"other","Skeletal muscle - Description"
"pathology","Urinary bladder - MPATH diagnostic term"
"other","Urinary bladder - Free text diagnostic term"
"pathology","Urinary bladder - MPATH process term"
"other","Urinary bladder - Severity score"
"other","Urinary bladder - Descriptor PATO"
"other","Urinary bladder - Description"
"pathology","Testes - MPATH diagnostic term"
"other","Testes - Free text diagnostic term"
"pathology","Testes - MPATH process term"
"other","Testes - Severity score"
"other","Testes - Descriptor PATO"
"other","Testes - Description"
"pathology","Epididymis - MPATH diagnostic term"
"other","Epididymis - Free text diagnostic term"
"pathology","Epididymis - MPATH process term"
"other","Epididymis - Severity score"
"other","Epididymis - Descriptor PATO"
"other","Epididymis - Description"
"pathology","Prostate - MPATH diagnostic term"
"other","Prostate - Free text diagnostic term"
"pathology","Prostate - MPATH process term"
"other","Prostate - Severity score"
"other","Prostate - Descriptor PATO"
"other","Prostate - Description"
"pathology","Seminal vesicle - MPATH diagnostic term"
"other","Seminal vesicle - Free text diagnostic term"
"pathology","Seminal vesicle - MPATH process term"
"other","Seminal vesicle - Severity score"
"other","Seminal vesicle - Descriptor PATO"
"other","Seminal vesicle - Description"
"pathology","Ovary - MPATH diagnostic term"
"other","Ovary - Free text diagnostic term"
"pathology","Ovary - MPATH process term"
"other","Ovary - Severity score"
"other","Ovary - Descriptor PATO"
"other","Ovary - Description"
"pathology","Uterus - MPATH diagnostic term"
"other","Uterus - Free text diagnostic term"
"pathology","Uterus - MPATH process term"
"other","Uterus - Severity score"
"other","Uterus - Descriptor PATO"
"other","Uterus - Description"
"other","Stain"
"other","Section thickness"
"images","Images"
"other","Severity maximum score"
"other","Experimenter ID"
"pathology","Salivary gland - MPATH diagnostic term"
"other","Salivary gland - Free text diagnostic term"
"pathology","Salivary gland - MPATH process term"
"other","Salivary gland - Severity score"
"other","Salivary gland - Descriptor PATO"
"other","Salivary gland - Description"
"other","Salivary gland - Significance score"
"pathology","Sternum - MPATH diagnostic term"
"other","Sternum - Free text diagnostic term"
"pathology","Sternum - MPATH process term"
"other","Sternum - Severity score"
"other","Sternum - Descriptor PATO"
"other","Sternum - Description"
"other","Sternum - Significance score"
"pathology","Femur - MPATH diagnostic term"
"other","Femur - Free text diagnostic term"
"pathology","Femur - MPATH process term"
"other","Femur - Severity score"
"other","Femur - Descriptor PATO"
"other","Femur - Description"
"other","Femur - Significance score"
"blood_hematology","Bone marrow - MPATH diagnostic term"
"blood_hematology","Bone marrow - Free text diagnostic term"
"blood_hematology","Bone marrow - MPATH process term"
"blood_hematology","Bone marrow - Severity score"
"blood_hematology","Bone marrow - Descriptor PATO"
"blood_hematology","Bone marrow - Description"
"blood_hematology","Bone marrow - Significance score"
"pathology","Brown adipose tissue - MPATH diagnostic term"
"other","Brown adipose tissue - Free text diagnostic term"
"pathology","Brown adipose tissue - MPATH process term"
"other","Brown adipose tissue - Severity score"
"other","Brown adipose tissue - Descriptor PATO"
"other","Brown adipose tissue - Description"
"other","Brown adipose tissue - Significance score"
"pathology","Tibia - MPATH diagnostic term"
"other","Tibia - Free text diagnostic term"
"pathology","Tibia - MPATH process term"
"other","Tibia - Severity score"
"other","Tibia - Descriptor PATO"
"other","Tibia - Description"
"other","Tibia - Significance score"
"pathology","Knee joint - MPATH diagnostic term"
"other","Knee joint - Free text diagnostic term"
"pathology","Knee joint - MPATH process term"
"other","Knee joint - Severity score"
"other","Knee joint - Descriptor PATO"
"other","Knee joint - Description"
"other","Knee joint - Significance score"
"brain","Trigeminal V nerve - MPATH diagnostic term"
"brain","Trigeminal V nerve - Free text diagnostic term"
"brain","Trigeminal V nerve - MPATH process term"
"brain","Trigeminal V nerve - Severity score"
"brain","Trigeminal V nerve - Descriptor PATO"
"brain","Trigeminal V nerve - Description"
"brain","Trigeminal V nerve - Significance score"
"pathology","Nasal cavity - MPATH diagnostic term"
"other","Nasal cavity - Free text diagnostic term"
"pathology","Nasal cavity - MPATH process term"
"other","Nasal cavity - Severity score"
"other","Nasal cavity - Descriptor PATO"
"other","Nasal cavity - Description"
"other","Nasal cavity - Significance score"
"pathology","Ear - MPATH diagnostic term"
"other","Ear - Free text diagnostic term"
"pathology","Ear - MPATH process term"
"other","Ear - Severity score"
"other","Ear - Descriptor PATO"
"other","Ear - Description"
"other","Ear - Significance score"
"pathology","Tooth - MPATH diagnostic term"
"other","Tooth - Free text diagnostic term"
"pathology","Tooth - MPATH process term"
"other","Tooth - Severity score"
"other","Tooth - Descriptor PATO"
"other","Tooth - Description"
"other","Tooth - Significance score"
"pathology","Tongue - MPATH diagnostic term"
"other","Tongue - Free text diagnostic term"
"pathology","Tongue - MPATH process term"
"other","Tongue - Severity score"
"other","Tongue - Descriptor PATO"
"other","Tongue - Description"
"other","Tongue - Significance score"
"pathology","Sciatic nerve - MPATH diagnostic term"
"other","Sciatic nerve - Free text diagnostic term"
"pathology","Sciatic nerve - MPATH process term"
"other","Sciatic nerve - Severity score"
"other","Sciatic nerve - Descriptor PATO"
"other","Sciatic nerve - Description"
"other","Sciatic nerve - Significance score"
"brain","Brain"
"other","Eye with optic nerve"
"brain","Spinal cord"
"other","Thymus"
"other","Thyroid"
"heart","Heart"
"other","Trachea"
"other","Esophagus"
"other","Lung"
"other","Liver"
"other","Gall bladder"
"other","Stomach"
"other","Small intestine"
"other","Large intestine"
"other","Pancreas"
"other","Spleen"
"other","Kidney"
"other","Adrenal gland"
"other","Mammary gland"
"other","Lymph node"
"other","Skin"
"other","Skeletal muscle"
"other","Urinary bladder"
"other","Testes"
"other","Epididymis"
"other","Prostate"
"other","Seminal vesicle"
"other","Ovary"
"other","Uterus"
"other","Salivary gland"
"other","Sternum"
"other","Femur"
"blood_hematology","Bone marrow"
"other","Brown adipose tissue"
"other","Tibia"
"other","Knee joint"
"brain","Trigeminal V nerve"
"other","Nasal cavity"
"other","Ear"
"other","Tooth"
"other","Tongue"
"other","Sciatic nerve"
"pathology","Bone - MPATH diagnostic term"
"other","Bone - Free text diagnostic term"
"pathology","Bone - MPATH process term"
"other","Bone - Severity score"
"other","Bone - Descriptor PATO"
"other","Bone - Description"
"other","Bone - Significance score"
"other","Bone"
"brain","Brain - Significance score"
"other","Eye with optic nerve - Significance score"
"brain","Spinal cord - Significance score"
"other","Thymus - Significance score"
"other","Thyroid - Significance score"
"heart","Heart - Significance score"
"other","Trachea - Significance score"
"other","Esophagus - Significance score"
"other","Lung - Significance score"
"other","Liver - Significance score"
"other","Gall bladder - Significance score"
"other","Stomach - Significance score"
"other","Small intestine - Significance score"
"other","Large intestine - Significance score"
"other","Pancreas - Significance score"
"other","Spleen - Significance score"
"other","Kidney - Significance score"
"other","Adrenal gland - Significance score"
"other","Mammary gland - Significance score"
"other","Lymph node - Significance score"
"other","Skin - Significance score"
"other","Skeletal muscle - Significance score"
"other","Urinary bladder - Significance score"
"other","Testes - Significance score"
"other","Epididymis - Significance score"
"other","Prostate - Significance score"
"other","Seminal vesicle - Significance score"
"other","Ovary - Significance score"
"other","Uterus - Significance score"
"functional_behavioral","Total duration of lick/bite behaviour"
"other","Total number of lick/bite events"
"functional_behavioral","Total duration of drag/limp behaviour"
"other","Total number of drag/limp events"
"functional_behavioral","Total duration of flinch behaviour"
"other","Total number of flinch events"
"other","Anaesthetic"
"other","Formalin Concentration"
"other","Amount of formalin injected"
"other","Syringe Gauge"
"other","Site of formalin injection"
"equipment","Arena Manufacturer"
"other","Size of testing arena"
"other","Recording Software"
"other","Data scoring method"
"other","Annotation Software"
"other","Duration of observation period"
"images","Camera Position"
"other","Disinfectant"
"functional_behavioral","Duration of lick/bite behaviour"
"functional_behavioral","Duration of drag/limp behaviour"
"functional_behavioral","Duration of flinch behaviour"
"functional_behavioral","Duration of licking/biting behavior (10-60 minutes)"
"other","Time per bin/increment"
"other","Time bins excluded"
"other","Experimenter ID"
"other","Insulin"
"other","Type of kit"
"equipment","Kit manufacturer"
"other","Kit lot number"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"blood_hematology","Blood collection tubes"
"blood_hematology","Anesthesia used for blood collection"
"blood_hematology","Method of blood collection"
"other","Anticoagulant"
"blood_hematology","Date and time of blood collection"
"other","Sample status"
"other","Samples kept on ice between collection and analysis"
"other","Sample dilution"
"other","Replicates"
"blood_hematology","ID of blood collection SOP"
"other","Hemolysis status"
"blood_hematology","Blood collection experimenter ID"
"blood_hematology","Blood analysis experimenter ID"
"equipment","Date equipment last calibrated"
"other","Placenta Development"
"other","Placenta Morphology"
"other","Placenta Vasculature"
"other","Placenta Size"
"other","Umbilical cord morphology"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"other","Placenta color"
"other","Eye"
"other","Bulging eye"
"blood_hematology","Eye Hemorrhage or Blood Presence"
"other","Eyelid morphology"
"other","Eyelid closure"
"other","Narrow eye opening"
"other","Cornea"
"other","Corneal opacity"
"blood_hematology","Corneal vascularization"
"other","Iris/Pupil"
"other","Pupil Position"
"other","Pupil Shape"
"other","Pupil Dilation"
"functional_behavioral","Pupil Light Response"
"other","Iris Pigmentation"
"other","Lens"
"other","Lens Opacity"
"other","Fusion between cornea and lens"
"other","Synechia"
"other","Retina"
"images","Retinal Pigmentation"
"images","Retinal Structure"
"other","Optic Disc"
"images","Retinal Blood Vessels"
"images","Retinal Blood Vessels Structure"
"images","Retinal Blood Vessels Pattern"
"blood_hematology","Persistence of hyaloid vascular system"
"images","Slit Lamp observation"
"images","Ophthalmoscope Observation"
"images","Slit Lamp Equipment ID"
"images","Slit Lamp Equipment Manufacturer"
"images","Slit Lamp Equipment Model"
"images","Ophthalmoscope Equipment ID"
"images","Ophthalmoscope Equipment Manufacturer"
"images","Ophthalmoscope Equipment Model"
"other","Experimenter ID"
"images","Optical Coherence Tomography Equipment ID"
"images","Optical Coherence Tomography Equipment Manufacturer"
"images","Optical Coherence Tomography Equipment Model"
"equipment","Scheimpflug Equipment ID"
"equipment","Scheimpflug Equipment Manufacturer"
"equipment","Scheimpflug Equipment Model"
"other","Dilation Method"
"other","Topical Anesthetic"
"other","General Anesthetic"
"images","Date Slit Lamp equipment last calibrated"
"images","Date Ophthalmoscope equipment last calibrated"
"equipment","Date Scheimpflug equipment last calibrated"
"images","Date OCT equipment last calibrated"
"images","Images Ophthalmoscopy"
"images","Images Slit Lamp"
"other","Sheimpflug Lens description"
"other","Scheimpflug description"
"other","Min left eye lens density"
"other","Max left eye lens density"
"other","Mean left eye lens density"
"other","Min right eye lens density"
"other","Max right eye lens density"
"other","Mean right eye lens density"
"other","Right corneal thickness"
"other","Right anterior chamber depth"
"images","Right total retinal thickness"
"other","Right inner nuclear layer"
"other","Right outer nuclear layer"
"other","Right posterior chamber depth"
"other","Left corneal thickness"
"other","Left anterior chamber depth"
"images","Left total retinal thickness"
"other","Left inner nuclear layer"
"other","Left outer nuclear layer"
"other","Left posterior chamber depth"
"images","B-scan of right retina"
"images","B-scan of left retina"
"other","VIP of right fundus"
"other","VIP of left fundus"
"images","B-scan of right cornea and lens"
"images","B-scan of left cornea and lens"
"other","VIP of right eye"
"other","VIP of left eye"
"other","Corneal Sclerization"
"other","Corneal deposits"
"other","Iris transilumination"
"other","Vitreous"
"other","Corneal mineralization"
"other","Corneal ulcer"
"other","Lacrimation"
"other","Right vitreous humor thickness"
"other","Left vitreous humour thickness"
"images","Ophthalmoscope Lens Model"
"other","Right eye diameter"
"other","Left eye diameter"
"other","Retina (combined)"
"images","Camera to Source"
"equipment","Equipment Version"
"images","Image Pixel Size"
"images","Date of Scan"
"equipment","Equipment Manufacturer"
"equipment","Equipment ID"
"images","E9.5 MicroCT Preparation protocol"
"other","Screenshots"
"other","Object to Source"
"equipment","Source Current"
"other","Date of Sacrifice"
"other","Date Preparation Finished"
"images","Embryo reconstruction"
"other","Experimenter ID"
"equipment","Source Voltage"
"equipment","Date equipment last calibrated"
"equipment","Equipment Model"
"other","Conditioning Baseline Freeze Count"
"other","Conditioning Baseline Freezing Time"
"other","Conditioning Baseline % Freezing Time"
"other","Conditioning Baseline Average Motion Index"
"other","Conditioning Baseline Minimum Motion Index"
"other","Conditioning Baseline Maximum Motion Index"
"other","Context Freeze Count"
"other","Context Freezing Time"
"other","Context % Freezing Time"
"other","Context Average Motion Index"
"other","Context Minimum Motion Index"
"other","Context Maximum Motion Index"
"other","Cue Baseline Freeze Count"
"other","Cue Baseline Freezing Time"
"other","Cue Baseline % Freezing Time"
"other","Cue Baseline Average Motion Index"
"other","Cue Baseline Minimum Motion Index"
"other","Cue Baseline Maximum Motion Index"
"other","Cue Tone Freeze Count"
"other","Cue Tone Freezing Time"
"other","Cue Tone % Freezing Time"
"other","Cue Tone Average Motion Index"
"other","Cue Tone Minimum Motion Index"
"other","Cue Tone Maximum Motion Index"
"other","Conditioning: Date and time"
"other","Conditioning: Room acclimation time"
"other","Conditioning: White house light level in arena"
"brain","Conditioning: Olfactory cue"
"other","Conditioning: Mouse arena shape"
"other","Conditioning: Mouse arena dimension"
"other","Conditioning: Mouse arena colour"
"other","Conditioning: Mouse arena floor"
"weight","Conditioning: Length of time baseline"
