"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"364ogjau0t859l7","MGI:99602","Acan","E18.5","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.75
"364wm2p39i0o9x9","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.88
"365a93gz68xv93n","MGI:3652039","Rad21l","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.53
"366030y076mxni7","MGI:3646952","Spink14","Early adult","C57BL","IMPC_CBC_003_001","Chloride",0.27
"3661jg6st1wx97h","MGI:104747","Pkia","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.47
"3668l314425g0ph","MGI:2136890","Setd4","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.15
"366q70sm2ct8r41","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0.46
"36708a80hlw9e39","MGI:1914852","Necap1","Early adult","C57BL","ESLIM_016_001_005","Mean cell volume",0.2
"3677eix11odppp2","MGI:1921287","Acot6","Early adult","129SV","IMPC_EYE_002_001","Bulging eye",0.26
"36852bnaai268x5","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.93
"3685ai698h03272","MGI:1309467","Gstm6","Early adult","C57BL","JAX_OFD_021_001","Number of rears - total",0.91
"368d0sn52vm2atn","MGI:1309998","Marco","Early adult","C57BL","IMPC_DXA_002_001","Fat mass",0.56
"368qy5jik4o8xqi","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_EYE_016_001","Lens",0.2
"368ts530159v63w","MGI:99602","Acan","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.19
"368yaxzao69i207","MGI:2684313","Togaram1","E15.5","C57BL","IMPC_CSD_008_001","Coat - color pattern - back",0.19
"3691n38qmv8z1c5","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.92
"3699k0q5340oymj","MGI:96217","Hprt1","Early adult","C57BL","IMPC_ECH_004_001","Ejection Fraction",0.22
"36alz92zcp6yc40","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_GEM_077_001","Hemorrhage",0.12
"36au80w7ar777h2","MGI:1914015","4933411k16rik","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.1
"36c4v248556873s","MGI:2441730","Tbl1xr1","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.9
"36c5q7ldj2g4033","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.31
"36d160n9agv1l33","MGI:1921287","Acot6","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.47
"36dik3oee9z54w3","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.04
"36eug81002s7506","MGI:1921720","Cep72","Early adult","C57BL","JAX_HBD_001_001","Total holepokes",0.15
"36g7xcr16p55sp1","MGI:1918588","Tprg1","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.41
"36gfw5d75040526","MGI:1921287","Acot6","Early adult","129SV","CCP_XRY_001_001","Skull shape",0.81
"36gu01z1983r058","MGI:1919192","Myof","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.63
"36h086jm3sh0d57","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.48
"36h5z836a32k0h6","MGI:2151224","Alpk3","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.51
"36kb5r721wdlr9n","MGI:1914852","Necap1","Early adult","C57BL","IMPC_CBC_007_001","Albumin",0.23
"36l9wodxak6k0p0","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.41
"36ntyu5ht8v402u","MGI:88289","Cbx2","E15.5","C57BL","IMPC_HEM_004_001","Hematocrit",0.71
"36o25lqu1q19ks7","MGI:1921287","Acot6","Early adult","C57BL","JAX_URI_002_001","Creatinine",0.43
"36o97ck368846qe","MGI:3037820","Kcna10","E12.5","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.96
"36p3321kbt63reb","MGI:2661120","Actr3b","Early adult","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.81
"36p54m6st2ql9ev","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.93
"36q1n42y0u56a7m","MGI:101901","Klra7","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.75
"36rq7t2se46xb3x","MGI:88344","Cd7","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.08
"36sv04ef5e7fn65","MGI:1309467","Gstm6","Early adult","C57BL","IMPC_HEM_005_001","Mean cell volume",0.55
"36u9j7q1u39h5di","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_CBC_009_001","Calcium",0.78
"36vvh4q6tdaexnc","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.2
"36x31339qact8r6","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_GEP_005_002","Responsive to tactile stimuli",0.46
"36xp29l2p4t2942","MGI:1919192","Myof","Early adult","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.74
"36z18o40e7a7896","MGI:1915625","Ndufa8","Early adult","C57BL","JAX_SLW_002_001","Sleep daily percent",0.16
"36zkr3mtv8cpoyk","MGI:1921287","Acot6","Early adult","129SV","IMPC_HEM_005_001","Mean cell volume",0.39
"370c3jn58o890p1","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.66
"370ch48t4sqq1wn","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_GEL_063_001","Delayed embryonic development",0.07
"370f085b594x9g8","MGI:88344","Cd7","Early adult","C57BL","IMPC_CBC_014_001","Alkaline phosphatase",0.11
"371d840pgfk808y","MGI:1928486","Tdo2","E12.5","C57BL","IMPC_OFD_014_001","Center distance travelled",0.8
"3727z9rznzv4qz8","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.65
"372872o296x9hrj","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.7
"3737e1y91o9125l","MGI:1919192","Myof","Early adult","C57BL","IMPC_ACS_006_001","Response amplitude - S",0.58
"373gxv78l955077","MGI:1918588","Tprg1","Early adult","C57BL","IMPC_OFD_014_001","Center distance travelled",0.47
"373ne1o2t7uzovx","MGI:1196466","Dsg2","Early adult","C57BL","IMPC_CSD_008_001","Coat - color pattern - back",0.14
"3743781ezqnzt7z","MGI:98957","Wnt4","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.64
"374614478p0d1l4","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.74
"374z41tkl09m30e","MGI:1859211","Irf6","Early adult","C57BL","IMPC_HEM_035_001","Eosinophil differential count",0.38
"3751m748n53y202","MGI:109151","Ltbp1","Early adult","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.45
"3751qr2279kai98","MGI:98241","Stmn2","E18.5","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.59
"37521a7re0wsr3b","MGI:102716","Cryba4","Early adult","C57BL","JAX_SLW_013_001","Breath rate during sleep mean",0.38
"3755ko98021lc6g","MGI:3037820","Kcna10","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.52
"375zt2fb0dj598l","MGI:98261","Ccl4","Early adult","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.53
"376p744f377c8h2","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.52
"3784414h67b986m","MGI:109349","Atf2","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.15
"3787gauq29xecga","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_OWT_002_001","Spleen weight",0.48
"378i8md61w1ix5h","MGI:2661120","Actr3b","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.93
"378m6297ksr68fb","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0
"378p9hqxyc9mfd7","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_HEM_005_001","Mean cell volume",0.46
"378r8h81ct0gv28","MGI:1309998","Marco","Early adult","C57BL","IMPC_CBC_017_001","Triglycerides",0.31
"379f25l1n3xfyw9","MGI:1928486","Tdo2","E12.5","C57BL","IMPC_GEL_063_001","Delayed embryonic development",0.74
"37a70r6j95dobc7","MGI:2685031","Leo1","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.48
"37aj5fx4q1353ke","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_GEM_077_001","Hemorrhage",0.76
"37b025h897za8ci","MGI:3607787","Spata21","Early adult","C57BL","IMPC_CSD_032_001","Locomotor activity",0.88
"37dwk3585kx4043","MGI:1347361","Mmp23","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.81
"37eo8e663li899o","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.13
"37etm2u0m3t1q0y","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.73
"37fxsg0h12o3a19","MGI:1921287","Acot6","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.94
"37g21a90oxs3rc9","MGI:98241","Stmn2","E18.5","C57BL","IMPC_GEL_063_001","Delayed embryonic development",0.11
"37gdr8349q75f32","MGI:1919192","Myof","Early adult","C57BL","IMPC_XRY_033_001","Tibia length",0.68
"37hlbvdd1n596ck","MGI:1333782","Pld3","Early adult","C57BL","IMPC_GEL_032_001","Embryo Size",0.32
"37i3oa5r28ue857","MGI:1922928","Ippk","E9.5","C57BL","IMPC_CBC_017_001","Triglycerides",0.55
"37k383kuvo2uim1","MGI:109151","Ltbp1","Early adult","C57BL","MGP_IMM_102_001","Immature NK cells - % of lymphocytes",0.14
"37l016m971fq0h1","MGI:3042250","Serpinb13","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.33
"37lm4t3y5z8r27n","MGI:700006","Dbnl","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.42
"37m7y75361z5655","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_GEP_004_002","Spontaneous movement",0.33
"37n7tdt8g4abt37","MGI:88344","Cd7","Early adult","C57BL","IMPC_HEM_035_001","Eosinophil differential count",0.68
"37o2k3m5z4vb562","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_OFD_014_001","Center distance travelled",1
"37p3n5l7i11u09g","MGI:95777","Gnas","Early adult","129SV","IMPC_EYE_062_001","Right total retinal thickness",0.5
"37p5164ct85n2sh","MGI:99160","Zfp14","Early adult","C57BL","JAX_LDT_004_001","Dark side time spent",0.74
"37piqs6p9d2m640","MGI:1890564","Rcan1","Early adult","C57BL","JAX_OFD_021_001","Number of rears - total",0.36
"37q449su62et597","MGI:1915340","Yif1a","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.62
"37qrso4l3934029","MGI:2387194","Qsox2","Early adult","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.9
"37rjv4349p1det8","MGI:109151","Ltbp1","Early adult","129SV","ESLIM_021_001_005","HDL-cholesterol",0.72
"37s00kl5w534s8j","MGI:3527427","Taar3","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.84
"37s65pq0xy224h5","MGI:1859211","Irf6","Early adult","C57BL","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.95
"37s7bum7qtn83d9","MGI:95864","Gstp2","Early adult","C57BL","IMPC_CBC_015_001","Total cholesterol",0.46
"37s8803n37pm2v5","MGI:101901","Klra7","Early adult","C57BL","IMPC_CBC_008_001","Total bilirubin",0.08
"37sx59h8qoilxy2","MGI:2388280","Polr2b","E9.5","C57BL","IMPC_CSD_033_001","Gait",0.84
"37t337997v170fb","MGI:109151","Ltbp1","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.43
"37t9e1mo0ql8336","MGI:101901","Klra7","Early adult","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.58
"37t9mrgw6l550la","MGI:3652039","Rad21l","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.44
"37uflsmkp29gz7z","MGI:2684313","Togaram1","E9.5","C57BL","IMPC_CBC_018_001","Glucose",0.61
"37uj2zub626kx87","MGI:106351","Vcf1","Early adult","129SV","MGP_IMM_033_001","Total NK cells - % of CD45+",0.1
"37v327196woym9f","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.93
"37v8gei465rtuyz","MGI:1915267","Mrm2","E9.5","C57BL","JAX_LDT_005_001","Time mobile dark side",0.34
"37wsoi7k6wg0g57","MGI:1918588","Tprg1","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.22
"37xbo47f35nyi52","MGI:95777","Gnas","Early adult","129SV","IMPC_HEM_027_001","Red blood cell distribution width",0.72
"37y88na9vr8555o","MGI:109349","Atf2","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.28
"37zm2mq47u3i24s","MGI:1922928","Ippk","Early adult","C57BL","IMPC_DXA_010_001","Bone Area",0.99
"3801n59t8y7bro6","MGI:3037820","Kcna10","E12.5","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.15
"38038ac6r206oae","MGI:98905","Usp4","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.94
"3803m3924g14n8t","MGI:2153608","Ube2j2","Late adult","C57BL","ESLIM_016_001_005","Mean cell volume",0.46
"380587mrxo4gxar","MGI:88344","Cd7","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.88
"380a74188158di3","MGI:88452","Col2a1","Early adult","C57BL","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.83
"3813w53lxdi6b32","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_DXA_008_001","Lean/Body weight",0.35
"3816y209e8769l6","MGI:1919588","Wdr89","Early adult","C57BL","JAX_URI_005_001","Glucose",0.45
"381o0338kwzx92c","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.59
"381qdc9371589n2","MGI:1915918","Klk5","Early adult","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.81
"382i258mhui04h1","MGI:2685031","Leo1","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.28
"382yb1890vo7d92","MGI:2141255","Zfp513","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.71
"3831700832c0320","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.33
"3832060doo7lbhv","MGI:99602","Acan","E18.5","C57BL","CCP_XRY_001_001","Skull shape",0.29
"3837zv002j4170y","MGI:95805","Grb2","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.77
"383cocf57x840i2","MGI:1196466","Dsg2","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.09
"383t060176e916k","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.64
"3847utdz4e9mopa","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.15
"384kp22b743hb8n","MGI:1921078","Dcaf4","Early adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.86
"385dg7pseg74otb","MGI:700006","Dbnl","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.57
"386e33d50q34w24","MGI:1196466","Dsg2","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.77
"3870j2z9v03ugn3","MGI:1914852","Necap1","Early adult","C57BL","IMPC_ECH_004_001","Ejection Fraction",0.57
"387465egv38041l","MGI:95805","Grb2","Early adult","129SV","IMPC_HEM_003_001","Hemoglobin",0.27
"38770br2l042611","MGI:2153608","Ube2j2","Late adult","C57BL","IMPC_CBC_001_001","Sodium",0.61
"387z52l0429r1u0","MGI:1922928","Ippk","E12.5","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.46
"38823covab61ksg","MGI:1928486","Tdo2","E12.5","C57BL","IMPC_GEL_032_001","Embryo Size",0.36
"38989qq6p45c982","MGI:95805","Grb2","Early adult","129SV","IMPC_ACS_006_001","Response amplitude - S",0.5
"389h82z4yrlg3hg","MGI:2153608","Ube2j2","Middle aged adult","C57BL","IMPC_CBC_007_001","Albumin",0.45
"389un1992wp8k59","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.79
"38ay2zv6ird8og0","MGI:2147067","Dhx57","Early adult","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.77
"38b16650233119w","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.82
"38b3ixy4mq68h4m","MGI:88289","Cbx2","E15.5","C57BL","ESLIM_011_001_004","PP3 startle magnitude",0.66
"38ckblu2p7hg261","MGI:98241","Stmn2","E18.5","C57BL","HMGULA_HWT_008_001","Heart weight",0.77
"38cwn9h56fbws39","MGI:98241","Stmn2","E12.5","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.98
"38db86w80tgd12o","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.43
"38f24nnl6031967","MGI:1919192","Myof","Early adult","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.32
"38fc1w909anu9eh","MGI:2443796","Scart1","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.91
"38gx16w7s1p4e2c","MGI:109349","Atf2","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.72
"38i12665d4616v0","MGI:1917022","Bdh2","Early adult","C57BL","JAX_URI_005_001","Glucose",0.14
"38i9g83s7fg45o5","MGI:1859211","Irf6","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.82
"38ig5148yqg714a","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_EYE_023_001","Optic Disc",0.2
"38inn82h445x5b8","MGI:2385186","Clcc1","E9.5","C57BL","JAX_LDT_009_001","Percent time in light",0.91
"38jxy1900txz357","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.99
"38l07z7b9s1djdx","MGI:1916943","Pof1b","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.11
"38l0s13jvnwno3q","MGI:1915340","Yif1a","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.56
"38l1d9t37kq6wq3","MGI:2661120","Actr3b","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.93
"38l722h18012652","MGI:3607787","Spata21","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.76
"38nism077h9u2up","MGI:95777","Gnas","Early adult","129SV","M-G-P_025_001_021","Uric acid",0.97
"38nn9xp5744xk26","MGI:98241","Stmn2","E18.5","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.81
"38o20904k822707","MGI:2669796","Rtn4rl2","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.44
"38oh3p6yx5a1ve1","MGI:1277171","Dcx","Early adult","C57BL","JAX_URI_005_001","Glucose",0.94
"38p5m7y8cz45v35","MGI:2136890","Setd4","Early adult","C57BL","ESLIM_011_001_004","PP3 startle magnitude",0.16
"38pczed47r3tyhj","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.88
"38pi7n6a285f778","MGI:1930923","Slurp1","Early adult","C57BL","ESLIM_011_001_004","PP3 startle magnitude",0.68
"38r0i2jiyl8cn44","MGI:88452","Col2a1","Early adult","C57BL","M-G-P_025_001_014","Alanine aminotransferase",0.51
"38rn12x30l865ok","MGI:3041259","Mettl25","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.2
"38t4911we3kc35n","MGI:99160","Zfp14","Early adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.18
"38t4xbp99aa3fz2","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.93
"38u6xqog86r65s9","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0.46
"38v24482r9at5m1","MGI:88452","Col2a1","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.44
"38vg48w9836k3i4","MGI:1339711","Myh1","Early adult","C57BL","IMPC_HEM_038_001","Basophil differential count",0.69
"38vyntd0a61049t","MGI:3646952","Spink14","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.23
"38w68m5fobn1kn1","MGI:1928486","Tdo2","E15.5","C57BL","IMPC_CBC_010_001","Phosphorus",0.68
"38ys5c66yfm22l9","MGI:2684313","Togaram1","Early adult","C57BL","RBRCLA_YMZ_005_001","Alternation ratio per number of triplets",0.99
"38z13y626l8baxk","MGI:1196466","Dsg2","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.94
"38zt79g7l611z7e","MGI:1923549","Erp44","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.78
"3903aq06hb007p8","MGI:99602","Acan","E15.5","C57BL","IMPC_OFD_017_001","Center average speed",0.88
"390l0e0rwh89s4z","MGI:2147067","Dhx57","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.78
"39104wqylog0mzq","MGI:103250","Calm2","Early adult","C57BL","IMPC_CBC_012_001","Aspartate aminotransferase",0.99
"39112h871n0te99","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_DXA_010_001","Bone Area",0.09
"3911v7cr027kq83","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_CBC_007_001","Albumin",0.3
"39152es5q1v6g7a","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.83
"391e879h120dj08","MGI:1890564","Rcan1","Early adult","C57BL","M-G-P_025_001_022","Total bilirubin",0.88
"391f98euvxi93t8","MGI:2684313","Togaram1","E9.5","C57BL","IMPC_HEM_008_001","Platelet count",0.6
"391j0sb611vji6v","MGI:99602","Acan","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.23
"391n21i2uez871u","MGI:2153608","Ube2j2","Late adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.09
"391z3g310d1k420","MGI:2385186","Clcc1","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.91
"392227wqzf6zo9b","MGI:2442689","Lrrc49","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.1
"3928xd85g8411bz","MGI:104747","Pkia","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.83
"392jxj631e6os06","MGI:2443834","Ppfia2","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.98
"392l1m85r04ybk8","MGI:1914852","Necap1","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.42
"392la47353e3088","MGI:106351","Vcf1","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.5
"392rm7pr9g736we","MGI:88344","Cd7","Early adult","C57BL","IMPC_ACS_035_001","% Pre-pulse inhibition - PPI3",0.52
"392x71u3gx3by80","MGI:2385186","Clcc1","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.63
"3935d971h0w5477","MGI:2443796","Scart1","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.67
"3938s7zpmj88yjo","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_DXA_003_001","Lean mass",0.33
"393o23eb5ax7nm0","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_DXA_003_001","Lean mass",0.45
"3946203b76pb83o","MGI:2385186","Clcc1","E9.5","C57BL","M-G-P_025_001_022","Total bilirubin",0.5
"39479z4i130ox1d","MGI:1916943","Pof1b","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.85
"394k0af694b89t9","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_OFD_010_001","Periphery distance travelled",0.5
"394nv1086nn1962","MGI:3652039","Rad21l","Late adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.5
"3954n834hq54o5l","MGI:98957","Wnt4","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.12
"3958o1g83dn1g22","MGI:88289","Cbx2","E15.5","C57BL","JAX_URI_004_001","Magnesium",0.87
"3962c9c1s946npr","MGI:2684313","Togaram1","E9.5","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.38
"396367z5u7hb1bj","MGI:2153608","Ube2j2","Middle aged adult","C57BL","IMPC_GEL_063_001","Delayed embryonic development",0.89
"39651k6k90y6gc2","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_INS_001_001","Insulin",0.88
"396b7b3n03t6j1v","MGI:1915759","Ptx4","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.65
"396mu83565gtd1d","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.74
"396nays70834uyt","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.82
"39794874nw4gp80","MGI:3042250","Serpinb13","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.79
"397tm68he22jg09","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.5
"397y3rmk94298px","MGI:1915759","Ptx4","Early adult","C57BL","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.86
"397z610j71119cu","MGI:1922928","Ippk","E12.5","C57BL","IMPC_CBC_001_001","Sodium",0.23
"3990o3m5o92mq2q","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0.35
"39910jhw6d27e92","MGI:99602","Acan","Early adult","C57BL","M-G-P_025_001_013","Aspartate aminotransferase",0.58
"3995l0o76251710","MGI:88071","Arnt","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.35
"3995o07tm978jab","MGI:106351","Vcf1","Early adult","C57BL","HMGULA_CBC_016_001","HDL-cholesterol",0.9
"3997827epa65v9q","MGI:98905","Usp4","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.64
"39978lgw7rub0kl","MGI:2443834","Ppfia2","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.92
"39991pav03kl7uy","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_ECH_004_001","Ejection Fraction",0.09
"399j798n95x9eu9","MGI:2681308","Tas2r139","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.49
"39b17y6ee4s3015","MGI:98905","Usp4","Early adult","C57BL","RBRCLA_YMZ_005_001","Alternation ratio per number of triplets",0.38
"39cgf4lqkv78e36","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.46
